M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
16236,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
16236,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
16236,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
16236,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
16241,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
16241,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
16241,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
16241,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
16249,6144,7168,False,torch.bfloat16,torch.bfloat16,False,False
16249,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False
16249,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False
16249,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False
16388,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16391,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16396,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16400,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16403,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16407,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16409,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16410,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16422,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16426,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16429,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16449,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16461,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16474,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16497,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16566,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16609,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16647,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16663,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16714,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16732,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16748,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16752,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16769,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16773,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16777,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16780,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16792,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16793,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16801,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16812,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16816,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16825,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16832,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16836,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16845,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16870,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16890,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16915,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16922,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16931,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16934,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16938,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
16955,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17098,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17128,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17143,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17151,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17162,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17188,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17202,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17248,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17261,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17263,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17291,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17378,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17397,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17423,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17430,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17439,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17657,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17660,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17694,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17722,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17734,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17865,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
17961,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18028,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18175,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18185,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18246,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18252,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18278,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18281,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18292,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18370,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18396,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18442,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18464,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18496,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18521,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18564,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18920,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
18929,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
24479,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
24548,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
24555,3072,512,False,torch.bfloat16,torch.bfloat16,False,False
