gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,2048,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,261.2654,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_bnt0,0.0%,164.2662,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_persist,2.5%,425.5316,0,0,0,1453.42,5736.55
gfx950,256,4096,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,283.6126,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_bnt0,0.0%,206.5386,flydsl_moe2_afp4_wfp4_bf16_t128x256x128_reduce_xcd4,0.4%,490.1512,0,0,0,2208.16,718.8
gfx950,256,4096,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,295.5985,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,214.0137,flydsl_moe2_afp4_wfp4_bf16_t128x256x128_reduce,0.4%,509.6122,0,0,0,2123.83,1283.94
gfx950,256,4096,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,-1,0,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w2_bnt0,0,0,flydsl_moe2_afp4_wfp4_bf16_t128x128x256_atomic,0,570.49,0,0,0,0,0
gfx950,256,4096,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,414.4987,flydsl_moe1_afp4_wfp4_bf16_t128x64x256_w4_bnt0,0.0%,282.4306,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm128,2.5%,696.9293,0,0,0,1774.86,3538.74
gfx950,256,8192,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,507.0063,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,415.316,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_persist_sbm128,0.4%,922.3223,0,0,0,2346.97,436.56
gfx950,256,8192,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,534.1857,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,424.9564,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_persist_sbm128,0.4%,959.1421,0,0,0,2256.87,734.66
gfx950,256,8192,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,553.4301,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0,0.0%,424.5254,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce,0.4%,977.9555,0,0,0,2213.46,1338.12
gfx950,256,16384,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,970.2344,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,808.357,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_bnt2_sbm128,0.4%,1778.5914,0,0,0,2434.13,282.99
gfx950,256,16384,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1008.1585,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,820.3321,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_persist_sbm128,0.4%,1828.4906,0,0,0,2367.71,440.42
gfx950,256,16384,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,-1,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0,0,0,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,0,1788.59,0,0,0,0,0
gfx950,256,32768,4096,1536,16,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1925.4839,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,1595.5721,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_reduce_xcd4_persist_sbm128,0.4%,3521.056,0,0,0,2459.11,200.12
gfx950,256,32768,4096,1536,32,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1978.9876,moe_ck2stages_gemm1_256x128x128x128_1x4_MulABScaleShuffled_v3_Nswizzle0_Quant3_MulRoutedWeight0_silu_FP4X2_FP4X2_B16,0.0%,1602.1278,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2_persist_sbm128,2.3%,3581.1154,0,0,0,2417.87,281.09
gfx950,256,32768,4096,1536,64,7,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,-1,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0,0,0,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic,0,3542.37,0,0,0,0,0
