gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,4,4608,4096,21,0,8.499,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,17.77,1115.69,0.0
gfx950,256,8,4608,4096,21,0,9.0214,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,33.47,1056.08,0.0
gfx950,256,16,4608,4096,21,0,8.6188,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,70.08,1115.86,0.0
gfx950,256,32,4608,4096,21,0,9.281,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,130.15,1055.67,0.0
gfx950,256,64,4608,4096,21,0,8.8593,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,272.7,1146.6,0.0
gfx950,256,128,4608,4096,21,0,8.699,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,555.45,1250.6,0.0
gfx950,256,256,4608,4096,29,0,10.8917,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,887.25,1131.21,0.0
gfx950,256,512,4608,4096,37,0,12.2441,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,1578.5,1241.77,0.0
gfx950,256,1024,4608,4096,46,0,15.4062,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x128E,2509.04,1361.24,0.0
gfx950,256,2048,4608,4096,47,0,25.9683,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x256E,2977.07,1251.75,0.0
gfx950,256,4096,4608,4096,47,0,51.1459,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x256E,3023.09,1086.59,0.0
gfx950,256,8192,4608,4096,44,0,91.7065,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x384E,3372.04,1109.1,0.0
gfx950,256,16384,4608,4096,54,0,160.5067,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3853.27,1208.59,0.0
gfx950,256,32768,4608,4096,54,0,299.3306,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4132.39,1264.61,0.0
gfx950,256,1,9216,4096,21,0,9.1869,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,8.22,2056.72,0.0
gfx950,256,2,9216,4096,21,0,9.1908,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,16.43,2058.07,0.0
gfx950,256,4,9216,4096,21,0,9.2417,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,32.68,2051.17,0.0
gfx950,256,8,9216,4096,21,0,9.2572,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,65.24,2056.58,0.0
gfx950,256,16,9216,4096,29,0,9.1365,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,132.21,2101.69,0.0
gfx950,256,32,9216,4096,21,0,9.6018,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,251.61,2033.97,0.0
gfx950,256,64,9216,4096,21,0,9.5354,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_32x128E,506.73,2116.86,0.0
gfx950,256,128,9216,4096,29,0,11.2689,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_64x128E,857.55,1907.53,0.0
gfx950,256,256,9216,4096,37,0,12.403,_ZN5aiter41f4gemm_bf16_per1x32Fp4_BpreShuffle_96x128E,1558.28,1944.47,0.0
gfx950,256,512,9216,4096,49,0,17.1068,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x128E,2259.61,1716.28,0.0
gfx950,256,1024,9216,4096,47,0,25.0071,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x256E,3091.5,1593.38,0.0
gfx950,256,2048,9216,4096,47,0,52.1012,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_160x256E,2967.66,1167.29,0.0
gfx950,256,4096,9216,4096,44,0,89.8029,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x384E,3443.52,1144.29,0.0
gfx950,256,8192,9216,4096,54,0,157.713,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3921.52,1183.46,0.0
gfx950,256,16384,9216,4096,54,0,288.6196,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4285.75,1227.98,0.0
gfx950,256,32768,9216,4096,54,0,557.2142,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4439.77,1238.24,0.0
