gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,256,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,94.0563,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,54.5628,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,148.6191,0,0,0,108.37,10858.35,
gfx950,256,256,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,177.3099,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.9%,94.4695,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.1%,271.7794,0,0,0,118.52,11863.93,
gfx950,256,256,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,175.481,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.9%,96.8816,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,272.3626,0,0,0,130.1,11861.62,
gfx950,256,512,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,97.1426,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,58.4148,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.1%,155.5574,0,0,0,207.08,10394.26,
gfx950,256,512,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,176.3341,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.9%,99.9051,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,1.1%,276.2392,0,0,0,233.22,11683.78,
gfx950,256,512,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,176.767,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,0.9%,99.5737,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,276.3407,0,0,0,256.45,11702.25,
gfx950,256,1024,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,100.7613,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_fp4,0.9%,73.619,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,1.1%,174.3803,0,0,0,369.45,9308.37,
gfx950,256,1024,4096,512,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,178.049,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kw2_fp4,0.9%,107.0707,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,1.1%,285.1197,0,0,0,451.91,11341.93,
gfx950,256,1024,4096,512,513,11,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,180.4392,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_kw2_fp4,0.9%,117.0747,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.1%,297.5139,0,0,0,476.39,10890.58,
gfx950,256,2048,4096,256,512,10,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,111.5443,flydsl_moe1_afp4_wfp4_bf16_t64x64x256_w4_fp4,0.9%,119.447,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_reduce_persist_nt_sbm64,1.1%,230.9913,0,0,0,557.81,7081.56,
